,Item (Texto),Gravedad,sesgo
10,"Las protestas registradas en Colombia desde fines de abril han dejado al menos 27 muertes y más de 2,000 personas lesionadas, según un saldo publicado el viernes por el Ministerio de Defensa y que cita como fuentes de información al Fiscal General de la Nación ylos policenacionales.",3.0,0.0
11,"Por primera vez en décadas, los trabajadores, campesinos, indígenas y estudiantes fueron organizados para protestar por la protesta; La caída de la reforma fiscal en medio de una emergencia fiscal mostró grietas en un modelo económico hasta ahora sólido y la capacidad de los políticos para generar confianza yLas resoluciones parecen más limitadas que nunca. En menos 42 personas han muerto, según el Defensor del Pueblo. Se han lesionado. Los cientos han pasado días perdidos. El país ha visto, vive y vive, cientos de abuso policial y algunos tiroteos entre colombianos.",3.0,-1.0
12,"Cautivando ver cómo se ha organizado una vida útil en torno a las barricadas; Madres que vienen a cocinar para sus hijos, los ""cascos azules"", las donaciones que reciben de todo el país, los vecinos que contribuyen a traer algunas disposiciones, trabajadores de la salud queOfrecer su tiempo para asistir a lesionados y para lo que se ha erigido en la salud de la salud. Sin embargo, el SIDA disminuye cada vez más debido a la inflación al galope que la ciudad está experimentando por las dificultades de suministro "". No es culpa nuestra. No estamos bloqueando el corredor humanitario al contrario.A lo que quieren creer las autoridades "", dice Steven.",2.0,-1.0
13,"Amnistía Internacional (AI) instó este jueves a los Estados Unidos a suspender el suministro de armas a Colombia por su uso contra los manifestantes en las protestas antigubernamentales que han explotado en esa nación sudamericana. La organización, con sede en Londres, considerada verificada queEl gobierno presidido por el derecho de la derecha Ivan Duke ""está usando indebidamente las armas y equipos de los Estados Unidos para cometer violaciones de los derechos humanos contra los manifestantes en Colombia"". Por esta razón, AI instó al Secretario de Estado de los Estados Unidos., Antony Blinken, a ""inmediatamentecese el suministro, la venta o la transferencia directa o indirecta de material utilizado para la represión "".",3.0,-1.0
14,"El presidente Ivan Duque ordenó el martes por la noche ""el despliegue máximo de la fuerza pública en el nivel departamental y local, para desbloquear las carreteras en el país, cubierto de la estricta apego a los derechos humanos y el respeto de la ley"".
Por su parte, el Comité catalogó el anuncio como una ""Declaración de Guerra"", y convocó a una ""Caravana Nacional de Solidaridad"" hacia Cali este 20 y 21.",3.0,0.0
15,"El caso ha despertado indignación porque denuncian a la joven que los miembros de la policía han sido abusados sexualmente por los miembros de la policía. Aparentemente, ella llevó su vida después de ser liberada. La Policía Nacional se regoció en los hechos y señaló que sería unFalsas News, que calificó como ""mentira infame"" en una imagen publicada en las redes sociales de la institución.",3.0,1.0
16,"En todas partes, los niños jóvenes y ocupados jugando al fútbol, bailando, pintando, cantando, ""terroristas. ¿En serio? ¿Es eso lo que ves a nuestro alrededor?"", Pregunta a Tata, convertir su cámara 360 grados ina soleado domingo que se siente como la fiesta de un patrón.Santo.Por otro lado, Steven recuerda a Nicolás, heridos hace varios días, llevó al hospital en el que perdió su vida.Daniela suspira: ""Tengo 24 años y una niña de la niña, salgo con miedo al estómago, sin saber si puedo volver a casa. Pero no puedo sentarme y no hacer nada. Estudiamos leyes en la universidad durante cincoLos semestres, ya no podía pagarme. ¿Qué es mi futuro? """,3.0,-1.0
17,"Los expertos consultados por Forbes concluyen que, a excepción de la retirada de las exenciones fiscales, principalmente, las concedidas en el impuesto de 2019 a los bancos y ultrashíficos; y con los que podrían alcanzarse 9 mil millones de pesos, no vean dónde obtener másDinero a menos que sea a través de otra reforma fiscal. Parece que los expertos escaparon el pequeño detalle que Colombia en la corrupción se le da 50 mil millones de pesos por año. Por año, porque, si dejan de robar, ¡nos alcanzaría?",2.0,-1.0
18,"Los jóvenes se centraron en protestar por la estación de policía donde supuestamente se produjeron los hechos. La materia se volvió violenta cuando algunos manifestantes ardían propiedad pública. Los anti-Tisturbios intentaron dispersar a las personas con un tanquet que azotó contra ellos. En un video que ves la carrera de camiones.Más de tres personas en la esquina de una calle. Seguimiento, cambiar de dirección y sellar a otros tipos contra una cerca. Intentó ayudar a uno de ellos cuando el Tanque golpeó en un lado y luego en la cara.",3.0,-1.0
19,"La protesta en Colombia tiene su origen en un aumento de los impuestos a los que se ha agregado una gran incomodidad social. La acción de la policía no ha ayudado a apaciguar ese descontento. Jerónimo Castillo, investigador de las ideas de la Fundación para la Paz, un laboratorio de ideas, considera que las autoridades no han podido responder a las demandas de la calle "". Hay un estado que ha sido desmontado su bienestar y se ha centrado en los asuntos de la policía (los guerrilleros, la guerra contra Narco). Ahora ha sidoNo se puede entender que hay un cambio en la forma de entender la gobernanza porque debe negociarse con múltiples actores sociales y políticos. Pero la única respuesta es la policía "", dice.",2.0,0.0
20,"El presidente Iván Duque regresó este miércoles para referirse a los bloqueos que se registran en varias regiones del país, en medio del día de las protestas derivadas del desempleo nacional y afilaron su posición contra estos hechos. El jefe de estado afirmó que Colombia no puede ser""Secuestrado"" por los bloqueos, insistiendo en que esta práctica, que de acuerdo con el gobierno nacional viola la constitución, afecta el proceso y la política de reactivación segura de la economía, el desarrollo del empleo y el desarrollo de la vacunación masiva contra el coronavirus.",2.0,1.0
21,"En un marco complejo, se vivió una situación inusual en una de las ciudades donde se presentaron protestas. Durante las manifestaciones de Buenaventura, se conocía un video donde un hombre con flores y un globo en forma de corazón se acercaba a una mujer para expresar su amor.",0.0,0.0
22,"Varias organizaciones, nacionales e internacionales, han alertado la preocupación de la intensidad de la violencia contra los periodistas durante las protestas que se reúnen en un mes en el país. Aunque los hechos han sido denunciados ante la Oficina del Fiscal, las agresiones y el silencio del gobierno persisten.",3.0,0.0
23,"A través de un comunicado, el Fiscal General de la Nación, el Contralor de la República y el Fiscal General de la Nación emitieron un comunicado de cinco puntos en el que advierten a los manifestantes sobre la posibilidad de incurrir en un delito al bloquear el camino obstruyendo.Además, señalaron que los funcionarios podrían sumergirse en sanciones para sorprenderse al cometer esos comportamientos.",2.0,1.0
24,"""Rechazamos la intención de que los manifestantes tomen los populares barrios de escudo para refugiarse, ya que también hemos solicitado a la policía a no caer en esas provocaciones"", dijo el alcalde de Cartago, Víctor Álvarez.in represalia, algunos manifestantes vandalizaron las instalaciones.del Hospital San Juan de Dios, también una ambulancia e incineró el único automóvil de tanquemos de los bomberos voluntarios con los que el municipio tenía.",2.0,1.0
25,"El pastel de Empanadas y la yuca sufre las consecuencias del desempleo nacional ... Estos dos alimentos sufren las consecuencias de los desempleados nacionales. Dia a la falta de materia prima, existen graves problemas para prepararlos. FLOOL, azúcar, huevo, papa yyuca escasa.",0.0,1.0
26,Vandals quemó un autobús de transmilenio en la estación terrena de Soacha. Transmileno suspendió el servicio de la ruta G520. Un trance gigantesco de más de dos kilómetros se registra en la entrada sur de Bogotá.,1.0,1.0
27,"Las pastas de más de 2,700 panaderías y antioquia ya tienen una escasez de aportes. Tampoco tiene insumos o los costos son altos para las empresas que venden el papel de lija popular de Chócolo. Los ingredientes principales del pan, los buñuelos y las AREPAS no llegan por bloqueos y cómoSe logró poco es muy caro. El lunes 24 de mayo, todos los almacenes y proveedores de cadena en Medellín en busca de materia prima para su panadería hecha a mano.",1.0,1.0
28,"La personalería de Medellín tiene 216 revisiones de Latching de la ESMAD sin encontrar gases adeudados. Según el funcionario, hasta el momento, se han registrado tres quejas en este sentido, pero de la entidad con funciones de la oficina del fiscal en la capital de Antioquia no puede serconfirmado si las indicaciones son ciertas.",2.0,1.0
29,"""El odio consague el pensamiento"", explica. Explica. Ensegua en el corazón, es difícil arrancarlo ... "". Me gustó el texto de Echeverry, muy oportuno. Y agrego: ¿Cuánta culpa tienen los líderes políticos y de opinión en eso?¿Odio orgía? Es suficiente leer los tranvías de Gustavo Petro y los seguidores de él, o Álvaro Uribe y su propio; las entrevistas de expresión como César Gaviria (antiguos sabios de la tribu y los meros comederos de fuego) y los congresistas dichos congresistas.de ambos lados; o escuchar el radio de la mañana la rabiosa agresividad de muchos de los que preguntan y piensan; o revisar las redes sociales, donde tantos ponen su grano de pólvora para que la conflagración se extienda, incluida esa moda de la bandera colombiana de Colombia arriba, como si lo hiciera (poniendo la cabeza del país) no era una invitación subliminal al anarquismo.",1.0,1.0
30,"Marbelle nunca ha ocultado su uibismo. Es más, en estos días convulsivos y violentos, el discurso de ella ha sido radicalizado. Aunque Petro no ha hecho nada más que llamar a la calma, Marbelle insiste en que él era el senador de Colombia humana que le importaba.Cali, que vive una verdadera batalla de campal. Sin embargo, con todo el amor de ella, Tatán Mejía su contradijo y le recordó que había estado Uribe, con los tranquilos de ella, que radicalizaron la protesta.",0.0,-1.0
31,"Dado que los grupos económicos manejan los medios de comunicación, no habrá posibilidad de cambio. Nunca habrá. Es por eso que, cuando enciende la televisión, llorará porque un banco quemado Sarmiento Angulo, se fundará al ver a la ESMAD, por lo que es bueno.Católicos, arrodillados al orar a un dios de la muerte. La protesta una vez más volverá a ser compuesta de marihuananes sin marcar, frente a la cruz de Dilan que está muy muerta. En el país de Sarmiento Angulo, los pobres son solo carne de cañón.",2.0,-1.0
32,"La verdad es que la situación se está convirtiendo en color de hormigas cuando el presidente, irresponsable como cualquier improvisador, desata afirmaciones tontas e imprudentes en las redes sociales, asegurando sin evidencia de que el jefe de la oposición sea la causa, responsable y cultiva de los bloques de los que han tenidoir a algunos protestantes de desempleo para poder escuchar su voz, en la medida en que se ejecuta durante el mes de mayo, utilizando el jefe de mentira y el miedo de la manera más irresponsable como un arma de propaganda política para ganar elecciones en 2022.",2.0,-1.0
33,"Molano afirmó el sábado que la fuerza pública ya identificó a los líderes de los actos vandalicos en la ciudad, entre los cuales, según el ministro, sería alias 'Andrés', 'Cheeto' y 'Maiz' en el momento en que ofreció una recompensa deUP50 millones de pesos para obtener información sobre estos hechos.
Según el gobernador, estas declaraciones provocaron el rechazo de la ciudadanía caucana, porque son líderes sociales reconocidos en la región. El gobernador solicitó garantías de estos líderes y que se cumplen los preceptos legales del debido proceso.",3.0,0.0
34,"Noche de Terror en Tuluá (valle): un muerto, saqueo y el juzgado de la incineración. ""Alrededor de las 10 de la noche fue la desafortunada noticia que tiene que ver con el cuerpo sin vida que llega a un centro de cuidado"", dijo General Rodríguez "".Se identifica como Camilo Andrés Arango, 18, estudiante, que aparentemente falleció por el arma de fuego. A la vez, se presenta la agresión de dos ciudadanos con arma de fuego que no son graves en este momento "", agregó. Hay una persona muerta, daño de millonariosY un ataque directo contra la institucionalidad, las autoridades ofrecen hasta $ 100 millones de pesos de recompensa a quienes conducen a los responsables de los hechos violentos durante el 25 de mayo.",3.0,0.0
35,"El martes, el Ministro de Defensa de Colombia, Diego Molano Aponte, informó a través de su cuenta de Twitter verificada que ""Vandals"" han quemado el Palacio de Justicia de Tuluá, en el Departamento del Valle de Cauca. Tales lesionado, lesionado o muerto.",3.0,0.0
36,"La población vivió una noche de miedo y caos debido a los enfrentamientos entre los manifestantes y la fuerza pública, un choque que culminó con la sede de la sede del Palacio de la Justicia Municipal. Vídeos mostró las razas de la gente y las asusencias debido a detonaciones deArmas de fuego. Además, Camilo Andrés Arango García, un estudiante de derecho, murió al recibir un tiro y colectivos, aseguramos que eran uniformes durante los enfrentamientos de ayer.",3.0,0.0
37,"Aunque es incomparable, el evento en Tuluá recuerda el episodio traumático del palacio de la justicia en Bogotá en 1985, que dejó al menos 33 muertos, una docena desapareció y aún no aclara. Esta carga simbólica promete convertir la quema del palacio.en Tuluá en un argumento para los críticos de desempleo y, en general, profundizar la caída del apoyo hacia el movimiento de protesta, que ya cumple con las pistas de cierre del mes y que afecta a la economía nacional. Aunque el gobierno ha atribuido inmediatamente la quema de los manifestantes, el movimiento.El desempleo ya comienza a interpretar el hecho de que un ejemplo más que los civiles paramilitares se infiltran en la protesta que busca desacreditarla.",3.0,0.0
38,"Atención: los delincuentes queman el juzgado en Tuluá, Valle del Cauca.Acordancia a la información reciente, el incendio no podría ser sofocado como los bloqueos y los hechos del vandalismo que se vivieron en el lugar no permitieron el paso de los bomberos. Por lo tanto, muchos deLos videos en las redes sociales contienen llamadas de aquellos que registran que dejan que el personal de rescate vaya a actuar a tiempo ... Congresista aseguró que se actuó su ciudad natal y que le pidió a las autoridades y al Gobierno, a la ingestión que hiciera todo lo posible para recuperar el pedido.. También habían denuncias en las redes sociales de supuestos excesos de la policía en la represión del día.",3.0,0.0
39,"Los diálogos anteriores entre el Comité Nacional del Comité y el Gobierno parecen estancados después de la reunión privada que se llevó a cabo el jueves y que ambas partes dieron versiones muy diferentes. El presidente de la Central Unitaria de Trabajadores (Corte), Francisco Maltés, lamentó quePor el gobierno nacional no hubo respuesta al documento de garantías para el ejercicio de la protesta que se había basado el lunes.",2.0,0.0
40,Los bloques en el país han dejado pérdidas del orden de 516 mil millones de pesos para el comercio de PAISA y alrededor de nueve de cada diez hombres de negocios en el sector (88%) informan la escasez de productos. La situación es adversa y ha hecho que estén emocionados de recibir $ 18mil millones por día.,2.0,0.0
41,"""El Fiscal General de la Nación capturó, con la Policía Nacional, nueve personas. Con tres personas involucradas en el ataque ardor y terrorista contra el palacio. Se impuso una medida de seguridad en el centro de la prisión por el juez de garantías"", dijo el Fiscal Barbosa.",2.0,0.0
42,"Aunque el Gobierno expresó toda su voluntad de continuar con los diálogos, solicitó a los líderes del desempleo nacional, con respecto al mes en Colombia, que las carreteras están desbloqueadas, en beneficio de la población colombiana que se ha visto afectada por este asunto..",2.0,1.0
43,"Pudimos establecer varios datos. Al menos un policía vestido con civiles disparó ese día. Aunque el general Rodríguez aseguró que los agentes fueron atacados con tiros de una multitud, las heridas de dos de ellos no eran para proyectiles, sino por armas traumáticas queDisparar la bola de goma. Hecho, la policía no era uniforme; estaban sin chalecos reflexivos y sin gorras con el logotipo de la institución. La afirmación de Luis Carlos Vélez es falsa, porque no fue ""videos fabricados"".",3.0,-1.0
44,"Francisco Barbosa, el Fiscal General de la Nación, confirmó que el servidor CTI que murió después de ser atacado por una comunidad ampliada causó la muerte a dos civiles en un punto de bloqueo ubicado en el sector de la luna, centro de Cali. ""Fredy Bermúdez Ortiz, hoy murió hoy enEstos mismos hechos, fue un funcionario adjunto al Órgano de Investigación Técnica, quien, según la información recaudada hasta ahora, disparó hacia varias personas, causando la muerte de civiles "", dijo.",3.0,0.0
45,"Detectó la violencia en Cali: dos manifestantes fueron asesinados por un agente de CTI, que fue más tarde Lynch. En medio de un bloque que se registró en el sector lunar en la ciudad de Cali, un hombre que aparentemente trató de cruzar ese punto desaTenado un arma de fuego.y disparó a varios de los manifestantes que estaban en ese lugar. De ellos perdieron sus vidas. En medio del caos, la persona que disparó salió corriendo y fue perseguida por los mismos manifestantes que lograron detenerlo y Lynch.",3.0,0.0
46,"El agente de CTI habría sido asesinado por Lynching en Cali.a acción criminal y despiadada estaba en video cuando varios delincuentes lycharned a un oficial de la fiscalía acusaron de disparar contra los manifestantes en la ciudad de Cali. Es un agente del organismo de investigación técnica (CTI) que fue linchado en la calle y en vista de docenas de personas, quienes miraron cómo mataron al funcionario en un caso aparente de justicia por su propia mano.",3.0,1.0
47,"Andres Escobar se ve llevando un arma de fuego y se despidió contra los manifestantes en Cali, al menos 4 personas murieron ese día por tomas como Escobar. Este presunto empresario, está al lado de los agentes de la Policía Nacional, por lo que se presume que existe una complicidad entreAmbas partes. Sin embargo, la Oficina de Colombia de la Fiscalía no ha pronunciado por los hechos, este ciudadano podría pagar varios años de prisión por haber cometido varios crímenes. Posiblemente este ""pozo colombiano"" tiene relaciones con grupos narcoparamilitarios que están en Cali.",3.0,-1.0
48,"Este domingo hay nuevas manifestaciones contra los bloqueos: un día de paz y un carnaval de la vida. El Comité de Movilización 30 de mayo # Yoprotejomipa, convocado, para este domingo, dos marchas en dos puntos diferentes de la ciudad de Bogotá para protestar contra los bloqueos, lo queHan causado una escasez de algunos productos en tiendas y supermercados. El objetivo principal de estas movilizaciones, como se indica, es decir al país: ""No más violencia o más sangre, busque la unión de empresarios, comerciantes, jóvenes y diferentes gremios.""",0.0,0.0
49,"Los hechos de los acusados de Andrés Escobar, supuestamente accionista de una agencia de publicidad, ocurrieron el 28 de mayo en la calle 16 con la Carrera 102; en las mediaciones a la CAI de la policía en ese barrio del sur. El hecho generó mucha controversia.Además, porque los civiles que dispararon armas de fuego se publicaron junto con los miembros de la fuerza pública sin que este último evite el ataque armado contra los ciudadanos que se manifestaron en el marco del desempleo nacional; que fue un mes ese día. Las declaraciones de él han recibido elApoyo a un sector de la sociedad, así como las críticas de otras personas de la opinión pública. Por la parte de ella, Catherine Juvinoo, el activista político y el consultor de comunicación política declararon que Escobar muestra una mentalidad paramilitar. Ella ilustra claramente la mentalidad paramilitar.; La justicia por mano es normal; La protesta se reduce a una manifestación de vandalismo "".",3.0,-1.0
50,"""Soy una buena persona"", dice Andrés Escobar, el hombre que disparó en Cali: Andrés Escobar dijo que la policía apreció su ""solidaridad"", y le permitió a esta persona hacer los disparos. Se aseguraron esto, diferentes defensores de los derechos humanos asegurenque la policía, además de disparar, permitió que otros ciudadanos lo hicieran. Esos ciudadanos eran los ciudadanos, quien dijo que lo hizo para ""defender la propiedad privada de mi comuna"" y que lo que él consideraba ""normal para cualquier humano.Siendo. Era consciente de que me estaban filmando "".",3.0,1.0
51,"Andrés Escobar, el empresario que fue capturado en el rodaje de video en la ciudad de jardín, habló después de que los eventos registrados el viernes pasado en este vecindario del sur de Cali y después de que estuviera expuesto en las redes sociales, donde lo calificaron de ""Assassin, Paramilitary y Genocide""Sí, le aseguró que, según las fotos que han estado circulando en las redes sociales, ha sido objeto de ""insulto, calumnia, amenazas múltiples aceleradas"". Afirmó que ""los disparos debían disuadirlos, ya que estaban avanzando para quemar""La CAI de la ciudad de jardín.",3.0,1.0
52,"Si agregamos a sus representantes a la Cámara y los Senadores, Antioquia se convierte en el departamento con un mayor número de congresistas: 28 en total. Hay 18 representantes y 10 senadores (de Antioqueno o concentrando su voto en el departamento). En su gran mayoría,Se alinearon con Duke para salvar al Ministro de Defensa, Diego Molano, a quien un movimiento de censura se adelantó a dos veces que buscaba retirarlo de la posición debido a su gestión errática de la fuerza pública en el marco del desempleo nacional.; Los comentarios denigrantes de él sobre la protesta social y la indiferencia de él con las miles de víctimas que continúan abandonando la represión policial.",2.0,-1.0
53,"El neumático y el aflojamiento del liberalismo con Duke ya tienen varios episodios. Desde el envío de Gaviria (su jefe único de él) contra la Carrasquilla hasta la invitación posterior de él ""Surround"" Duke. En el Congreso, el banco se ha movido a ese ritmo. Las representaciones que apoyaron a Molona fueron: Julián Hairstyle, jefe del liberalismo de Envigado (con tres exalcales procesados ​​por la corrupción) y un úbismo incondicional. John Jairo Roldán, está en la cámara desde 2010 y la fuerza electoral de él se centra en hermosos y algunos municipios de Bajo Cauca. Roldán buscará llegar al Senado en 2022 y la fórmula de él a la cámara será peinado, ¡así! Entre los senadores, no extraña el voto del cuestionario Julián Bedoya, un aliado del grupo político de la Universidad de Medellín (el mismo que procesó la tarjeta del abogado en tiempo expreso). El coequilipper de él en el grupo de renovación liberal, Juan Diego Echavarría (uno de los promotores del proyecto fallido para extender el período a Duke), se abstuvo de la votación.",1.0,-1.0
54,"El 9 de mayo, los civiles vestidos de blanco en esta misma área del sur de Cali conocidos como Garden City dispararon abiertamente a un grupo de pueblos indígenas que supuestamente se pusieron a su sede. El área tiene urbanizaciones cerradas con casas de campo, naturaleza tropical frondosa y seguridad privada..... ""Aquí hay un sentido de comunidad que manifestó ese día"", explicó "". Porque nos costó mucho convertirnos en el vecindario en (de moda, acomodado) y queremos que te quedes así"". ""NosotrosNo quiero lastimar a nadie, pero también queremos que respetemos la nuestra; no puede ser que la protesta por los derechos de algunos termine con los derechos de los demás "", concluyó. El auge de estos vecindarios en Cali se dio durante elAltura del narcotráfico en los años 90, pero, según Tededes, ""la comunidad los ha estado sacando (a los narcos)"".",3.0,0.0
55,"Luisito Comunica llegó a Cali para registrar la llegada nacional en Colombia 2021. Youtuber llegó al país para documentar las protestas y contrastarlas con la información proporcionada por los diferentes medios. Especificar su objetivo firme, varias personas se han acercado a tomar fotos conél. En la cuenta de YouTube, se destacan algunos videos, donde el creador de contenido ha difundido las diversas situaciones que viven otras naciones. De acuerdo con el país, a través de las redes sociales, presentó los diferentes hechos del desempleo nacional y los ataques queSe les dio a los distribuidores que protestaron pacíficamente.",0.0,0.0
56,"CABA realizó un comentario respondiendo a una revisión de que Miguel Polo, activista colombiano, hecha sobre el papel que ha jugado a Luisito se comunica desde su llegada al país "". Luisito se cae sobre mí, pero si él viene a ver a los del bloqueo como social.Justiciers, cuando son bandidos que violan los derechos a la libre circulación, el trabajo y la salud de la ciudadanía, mejor que regresar a México. Pero tenemos con las ONG izquierda "", dijo Miguel Polo a través de sus redes sociales. Sobre este comentario, el congresista perteneciente.A la Banca del Centro Democrático respondió diciendo: ""¿Quién lo patrocina?"" Este hecho fue criticado por diferentes sectores y grupos sociales que apoyan la protesta social que tiene lugar en Colombia, argumentando que no hay un tinte político detrás del trabajo que Luisito esRealizando en el territorio nacional.",1.0,0.0
57,"""No creen que estuviéramos cometiendo barricadas, estamos construyendo el país democrático que toda la Colombia merece ante la discapacidad actual. Algo, ya que las soluciones exploradas por el equipo económico que comienza a trabajar es lo que la gente demanda en las calles"", escribió Petro sobre elreunión. La cantante de Tecno Lanera decidió responder al anuncio de un futuro gobierno que hizo de Petro, reiterando las críticas que mantiene contra el líder político "". Alguien que le dice que está alucinando ... Quiero fumar de eso que vendaPara ver si lanzaron la presidencia "", escribió Marbelle en su cuenta de Twitter, en un mensaje que decoró con emoticonos de risa.",0.0,0.0
58,"Uribe, Petro y Duke, indicó a los oportunistas para felicitar a Egan para el Giro de Italia ... en Twitter, también destacaron comentarios en los que consideraba que los mensajes de Duke, Petro y Uribe, pero la victoria de Egan se unió al país. Uno de ellos.Fue el de Mauricio Jaramillo Marín, quien Trinó: ""Le dicen a Petro Oportunista por Tweeting sobre Egan. Le dicen al presidente oportunista que lo felicitará. Y otros. ¿Cuál es la diferencia? (Creo que, por el contrario, esto no es oportunismo: La victoria a su vez es algo que nos une, que está por encima de las rivalidades) "".",0.0,0.0
59,"En las últimas horas, varios congresistas de la oposición informaron que el Procurador abrió investigaciones preliminares y investigaciones formales para temas relacionados con el desempleo nacional y las horas antes de que el Congreso comenzara el debate sobre la reforma del Código Disciplinario que le daría a los Jueces Powers Tothe Attorita Hair.La consecuencia de que surgen estas investigaciones es que los parlamentarios investigados deben ser declarados impedidos de votar sobre esta reforma que, desde que se arraigó, no apoyan. Los representantes afectados incluyen Angela María Robledo, Inti Asprilla, María José Pizarro y el senador Alexander López., quien denunció que es un acoso realizado por la Oficina del Fiscal.",3.0,-1.0
60,"Las redes sociales fueron testigos de una nueva controversia protagonizada por Miguel Polo Polo, quien compartió, de su cuenta de Twitter, una nueva asamblea que involucra a la senadora Gustavo Petro y en la que sugiere que el líder de Colombia Humano es un criminal perseguido en byjustice.es, él indica la trina.del militante político que tendría una supuesta recompensa para darle el paradero de él.",1.0,0.0
61,"Este jueves en las sesiones conjuntas de las primeras comisiones y comisiones del Senado, el proyecto de ley que busca una reforma exhaustiva del Código Disciplinario propuesto por el Fiscal General de la Nación, en el jefe de Margarita Hair.An iniciativa que plantea cambios drásticos del público.El ministerio y que no convence a la oposición, que ha denunciado en estos últimos días para aprobarlo sería brindar a los superpoderes del juez al procurador. La reforma se presenta después de que la Corte Interamericana de Derechos Humanos (Corte ADI) instó a laEstado colombiano Para ajustar los poderes sancionarios de la entidad en la investigación contra los funcionarios públicos de las elecciones populares por casos de corrupción y violación de los derechos humanos, para el caso de Gustavo Petro que fue despedido cuando fue alcalde de Bogotá irregularmente por el Alejandro Ordóñez.",1.0,-1.0
