,Item (Texto),GravedadMode
10,"Por todas partes se ven jóvenes y niños ocupados jugando al fútbol, ​​bailando, pintando, cantando, ""¿Terroristas? ¿En serio? ¿Es eso lo que ves a nuestro alrededor?”, pregunta Tata, girando su cámara 360 grados en un domingo soleado que se siente como la fiesta de un santo patrón. Por otro lado, Steven recuerda a Nicolás, herido hace varios días, llevado de urgencia al hospital en el cual perdió la vida. Daniela suspira: ""Tengo 24 años y una niña de 3, salgo con miedo en el estómago, sin saber si podré regresar a casa. Pero no puedo sentarme y no hacer nada. Estudié derecho en la universidad durante cinco semestres, no podía permitirme más. ¿Cual es mi futuro?""",3
11,"El Gobierno de de Iván Duque modificó el viernes último el decreto para limitar la definición de la protesta pacífica, con lo cual, desde ahora, los bloqueos de las vías dejan de ser una forma de protestas, por lo que se permite el ""uso de la fuerza"" por parte de las fuerzas de seguridad.",2
12,"Las más denigrantes medidas de sujeción y engaño, arbitrariedad y violencia, capitaneadas por el Estado, usualmente suelen ser confrontadas con fiestas democráticas, que llevan al máximo punto la creatividad y la conciencia. El arte ciudadano dialoga con la política barrial; los estudiantes alzan una sola voz con la clase trabajadora en acto y potencia; las mujeres protagonizan las luchas por el reconocimiento y la redistribución, así como las negritudes y la fuerza indígena-originario-campesina, que clama una verdadera reforma agraria; los ecologistas añaden la ensoñación posible de reinventar nuestras relaciones con la naturaleza, de modo que la fractura metabólica sea superada. Esta y otra constelación de subjetividades y colectividades se reúnen cuando de luchar por un sueño de reivindicaciones y emancipaciones se trata, articulando teoría y praxis, así como las dos fuerzas constitutivas de la voluntad, racionalidad y emoción. El paro es una de las tantas formas de hacer frente a la arbitrariedad. ",0
13,"Desde su fundación, medios como RCN fueron apadrinados por poderosos empresarios y elites políticas para que defiendan lo indefendible, los intereses del statu quo. En contraste, las redes sociales muestran las cosas mismas. Un ejemplo de esto es el paro nacional en curso. Han sido las redes —que se han convertido en una suerte de bistró o cafés-ágora— las que han recogido su riqueza teórico-práctica y político-social. Entre otros hechos, el parlamento ha enfatizado los siguientes: el esplendor de la fiesta democrática, que llegó al cénit en ciudades como Cali, que pasó de ser la sucursal del cielo a ser la capital de la resistencia; la profundidad sentipensante de emociones políticas como la rabia, prima-hermana de la solidaridad y el amor, que muta en indignación, y la indignación, en resistencia multitudinaria y dignificante; el verdadero vandalismo de cuello blanco (Hidroituango, Reficar, Electricaribe, Odebrecht, Chirajara, carrusel de la contratación, Túnel de la Línea, Saludcoop...), que ha dejado al país mucho peor que cualquier estación de Transmilenio; la deficiente y demagoga campaña de vacunación; el colapso y la podredumbre de las instituciones; la insensatez de confundir la opinión de personas de la farándula e influencers con el argumento de expertos analistas políticos. Este es solo el inicio.",1
14,"Durante los últimos 26 días desde que se convocó a Paro Nacional como negativa a las directrices del Gobierno de Iván Duque, la Fiscalía General y la Defensoría del Pueblo tienen en sus reportes 43 personas fallecidas de los cuales 17 de ellas tienen nexo directo con las protestas. Los lugares del país que más reportan muertes es Cali con ocho casos, seguido de Valle del Cauca (3), Cundinamarca (3), Tolima (1) y Bogotá (1). Adicionalmente, hay 7 muertes en proceso de verificación, y sobre 19 tienen evidencia para establecer que no guardan vínculo con las movilizaciones.",3
15,"Se salvó de morir: el desgarrador relato de un policía a quien le propinaron 27 puñaladas en medio de disturbios. El uniformado duró al menos cuatro días luchando por su vida en una Unidad de Cuidados Intensivos en la Clínica de la Policía en Cali. Desde que empezaron las marchas en Colombia, los fallecidos y heridos se han convertido en una realidad diaria, tras los fuertes enfrentamientos entre civiles e integrantes de la fuerza pública en varias regiones del país. Una situación que preocupa a los ciudadanos, teniendo en cuenta que, además de la violencia en los últimos días, el desabastecimiento de combustible, medicamentos y alimentos, empieza a preocupar a los hogares colombianos. En medio de los hechos de violencia que se han presentado en medio del paro, un policía identificado como Ángel Gabriel Padilla, narró cómo logró sobrevivir a pesar del brutal ataque que sufrió el pasado 29 de abril en el municipio de Yumbo, Valle del Cauca. El policía recibió al menos 27 puñaladas y además fue atacado con patadas y objetos contundentes. Patrullero Padilla, víctima de terroristas urbanos que llaman ""protesta"" a sus crímenes. Le dieron 27 puñaladas. Aterrador escuchar como moribundo, corre a refugiarse en una vivienda y allá lo buscan y lo sacan a la calle para que muera. Cuatro días en UCI y lesiones graves. ",3
16,"Este jueves en las sesiones conjuntas de las Comisiones Primeras de Senado y Cámara se debate el proyecto de ley que busca una reforma a fondo del Código Disciplinario que propuso la Procuraduría General de la Nación, en cabeza de Margarita Cabello. Una iniciativa que plantea cambios drásticos del Ministerio Público y que no convence a la oposición, que ha denunciado en estos últimos días que aprobarlo sería entregar superpoderes de juez a la procuradora. La reforma se presenta luego de que la Corte Interamericana de Derechos Humanos (Corte IDH) instara al Estado colombiano ajustar las competencias sancionatorias de la entidad en investigaciones contra servidores públicos de elección popular por casos de corrupción y violación de derechos humanos, por el caso de Gustavo Petro que fue destituido cuando fue alcalde de Bogotá de manera irregular por el exprocurador Alejandro Ordóñez.",1
17,"Los manifestantes se agruparon en el sector de la calle 30 con avenida Circunvalar, bajaron por el boulevard del barrio Simón Bolívar generando pánico y terror a lo largo de su recorrido hasta llegar a la zona próxima de las viejas instalaciones de la Escuela de Policía Antonio Nariño. Estando allí, se enfrentaron al Esmad y lanzaron bombas molotov contra la antigua sede.",2
18,"Si sumamos sus representantes a la Cámara y senadores, Antioquia se convierte en el departamento con mayor cantidad de congresistas: 28 en total. Son 18 representantes y 10 senadores (de origen antioqueño o que concentran su votación en el departamento). En su gran mayoría, se alinearon con Duque para salvar al ministro de Defensa, Diego Molano, sobre quien se adelantó una moción de censura en dos tiempos que buscaba retirarlo del cargo debido a su errático manejo de la fuerza pública en el marco del paro nacional; sus comentarios denigrantes sobre la protesta social y su indiferencia con los miles de víctimas que sigue dejando la represión policial.",2
19,"Motilonas Rap es un grupo de rap conformado por Johana Ortega Cabarico y Denys Aleyda Cáceres Cabarico, quienes le dieron vida en el año 2010 en el municipio de Tibú (Norte de Santander). Su nombre artístico es un homenaje al pueblo originario Barí, conocidos como Motilones Barí, quienes han habitado y resistido históricamente en este territorio. Para las Motilonas, el rap es una herramienta que permite reconstruir la memoria, fortalecer el tejido social, devolver la esperanza y aportar a la transformación territorial a través del arte. «¿Cuándo será la última vez que escribiremos a nuestro país que estamos cansados de la muerte, de la guerra, la miseria y todo lo que nos duele? A gritos y con digna rabia nos volvemos a levantar con rap hasta que nos escuchen, y en medio del paro nacional no seremos la excepción», expresó Denys Cáceres.",0
20,Vándalos quemaron un bus de TransMilenio en la estación Terreros de Soacha. TransMileno suspendió el servicio de la ruta G520. Un gigantesco trancón de más de dos kilómetros se registra en la entrada sur de Bogotá.,1
21,"Los oficiales del Ejército de la reserva activa del Curso Militar “Coronel Antonio Arredondo” expresaron este jueves su preocupación por la situación que atraviesa el país actualmente por cuenta del paro nacional. De acuerdo con el grupo de oficiales, Colombia
 está “frente a una amenaza que atenta contra la integridad del Estado, 
la democracia y las instituciones, al mismo tiempo que afecta la 
estructura productiva y empresarial del país”.",1
22,"Vidrios rotos, rejas y puertas destruidas, paredes maltratadas o invadidas de mensajes, vehículos averiados o incendiados. Esas son algunas de las imágenes del vandalismo que han visto los colombianos a través de la televisión, y que ha dejado hasta ahora el paro nacional en la infraestructura de las ciudades más afectadas.",1
23,"Luisito Comunica llegó a Cali para registrar el paro nacional en Colombia 2021. El youtuber llegó al hogar con el fin de documentar las protestas y contrastarlas con la información dada por los diferentes medios. A pesar de su firme objetivo, varias personas se han acercado para tomarse fotos con él. En la cuenta de YouTube destacan algunos videos, donde el creador de contenidos ha difundido las diversas situaciones que viven otras naciones. Desde antes de llegar al república, a través de redes sociales expuso los diferentes hechos del paro nacional y los ataques que se dieron hacia los marchantes que protestaban pacíficamente.",0
24,Los bloqueos en el país han dejado pérdidas del orden de 516 mil millones de pesos para el comercio paisa y cerca de nueve de cada diez empresarios del sector (88 %) reportan escasez de productos. La situación es adversa y ha provocado que se dejen de percibir $18 mil millones diarios.,2
25,"Amnistía Internacional (AI) urgió este jueves a Estados Unidos a que suspenda el suministro de armas a Colombia por su uso contra manifestantes en las protestas antigubernamentales que han estallado en esa nación suramericana. La organización, con sede en Londres, consideró verificado que el Gobierno presidido por el derechista Iván Duque ""está utilizando indebidamente armas y equipos de Estados Unidos para cometer violaciones de derechos humanos contra manifestantes en Colombia"". Por ello, AI instó al secretario de Estado de EE.UU., Antony Blinken, a que ""cese de inmediato el suministro, venta o transferencia directa o indirecta de material utilizado para la represión"".",3
26,"A simple vista, todo lo que ha dicho Petro es claramente una exageración o una mentira. Sin embargo, en un ambiente caldeado y violento, sus palabras se convierten en gasolina, y lo único que hacen es encender más el odio en momentos en que los colombianos exigen grandeza y sensatez de parte de sus líderes políticos para poder sacar adelante las reformas que demandan los ciudadanos, principalmente los jóvenes. Por esta razón, Petro se equivoca y está jugando, literalmente, con fuego: lo que hoy puede hacerlo popular mañana podría pasarle una costosa factura en términos políticos y dejarlo sin opciones en las presidenciales.",1
27,"Y, además, dicen que para iniciar el diálogo solicitan la no judicialización de los miembros de la primera línea por delitos relacionados con terrorismo, vandalismo, daño en bien público y demás delitos relacionados con bienes jurídicos protegidos y el reconocimiento del parque Mundo como una zona de campamento permanente para miembros de las primeras líneas que al momento de ejercer el derecho de la manifestación se quedaron sin hogar. “Exigimos que se nos establezca ese campamento con veeduría 24/7”.",1
28,"""Rechazamos la intención de los manifestantes de coger los barrios populares de escudos para refugiarse, en eso también hemos solicitado a la Policía a no caer en esas provocaciones"", aseguró el alcalde de Cartago, Víctor Álvarez. En retaliación algunos manifestantes vandalizaron las instalaciones del Hospital San Juan de Dios, también una ambulancia e incineraron el único carro tanque de los bomberos voluntarios con el que contaba el municipio.",2
29,"Marbelle nunca ha ocultado su uribismo. Es más, en estos días convulsos, violentos, su discurso se ha radicalizado. A pesar de que Petro no ha hecho otra cosa que llamar a la calma, Marbelle insiste en que fue el senador de la Colombia Humana quien incendió Cali, quien vive una verdadera batalla campal. Sin embargo, con todo el cariño, Tatán Mejía la contradijo y le recordó que había sido Uribe, con sus trinos, quien radicalizó la protesta",0
30,"“ No crean que estábamos haciendo barricadas, estamos construyendo el país democrático que toda Colombia merece ante la incapacidad actual. De alguna manera las soluciones exploradas por el equipo económico que empieza a trabajar son las que la gente demanda en las calles ”, escribió Petro sobre el encuentro. La cantante de tecno carrilera decidió contestar el anuncio de un futuro gobierno que hizo Petro, reiterando las críticas que mantiene en contra del líder político. “ Alguien que le diga que está alucinando … Yo quiero fumar de esa que le venden a él a ver si me lanzo a la presidencia ”, escribió Marbelle en su cuenta de twitter, tuerca un mensaje que decoró con emoticones de carcajada.",0
31,"Las redes sociales fueron testigo de una nueva polémica protagonizada por Miguel Polo Polo, quien compartió, desde su cuenta de Twitter, un nuevo montaje que involucra al senador Gustavo Petro y en el cual sugiere que el dirigente de la Colombia Humana es un criminal perseguido por la justicia. Inclusive, indica el trino del militante político que habría una supuesta recompensa para dar con su paradero.",1
32,"Cabal realizó un comentario respondiendo a una crítica que Miguel Polo, activista colombiano, hizo sobre el papel que ha desempeñado Luisito Comunica desde su llegada al país. “Luisito me cae bien, pero si viene a hacer ver a los del bloqueo como unos justicieros sociales, cuando son unos bandidos que violan los derechos a la libre circulación, trabajo y salud de la ciudadanía, mejor que se regrese a México. Suficiente tenemos con las ONG de Izquierda”, aseguró Miguel Polo a través de sus redes sociales. Sobre este comentario, la congresista perteneciente a la bancada del Centro Democrático respondió diciendo: “¿Quién lo patrocina?”. Este hecho fue criticado por diferentes sectores y grupos sociales que apoyan la protesta social que se desarrolla en Colombia, argumentando que no hay ningún tinte político detrás de la labor que Luisito está desempeñando en el territorio nacional.",1
33,"Un panorama que la propia fundación señaló ha transcurrido en medio de estigmatizaciones y agresiones por parte de miembros de la Fuerza Pública y bajo un silencio total del gobierno y las autoridades. Luego de que los disturbios y manifestaciones se redujeran en el último tiempo, la Defensoría del Pueblo anunció que adelantará una jornada de recepción de quejas y denuncias abierta a los periodistas y reporteros gráficos que fueron víctimas de agresiones y restricciones a su oficio en el marco del paro iniciado el pasado 28 de abril.",1
34,"“La Primera Línea es un grupo de jóvenes dispuestos a enfrentarse con escudos, para repeler los ataques policiales contra los manifestantes”, explica Jonathan[1], uno de estos Gavroches latinos, quien hace parte de los 60 a 80 jóvenes presentes en Puerto Rellena, al norte de la ciudad, en la vía que conduce al aeropuerto Alfonso Bonilla Aragón y a la Panamericana, sitio que ha sido rebautizado como Puerto Resistencia y se ha convertido en un lugar emblemático en Cali. Sus escudos: placas de metal, protecciones artesanales hechas con latas abiertas y aplastadas. Sus armas contra la fuerza publica, que los enfrenta con munición letal y tanques: piedras. La situación esta muy lejos de ser como la Guerra de los botones.",2
35,"La protesta en Colombia tiene su origen en una subida de impuestos a la que se le ha sumado un gran malestar social. La actuación de la policía no ha ayudado a apaciguar ese descontento. Jerónimo Castillo, investigador de la fundación Ideas para la Paz, un laboratorio de ideas, considera que las autoridades no han sabido responder a las demandas de la calle. “Hay un Estado que se ha ido desmontando su bienestar y se ha concentrado en asuntos policiales (la guerrilla, la guerra contra el narco). Ahora ha sido incapaz de comprender que hay un cambio en la manera de entender la gobernanza porque se tiene que negociar con múltiples actores sociales y políticos. Pero la única respuesta es policial”, sostiene.",2
36,"Exportaciones de café cayeron 11 % en junio debido a los bloqueos del paro nacional. Las exportaciones de café de Colombia recuperaron en junio mucho del terreno perdido por los bloqueos y cayeron apenas 11 %, a 986.000 sacos de 60 kg de café verde, frente a un 1,11 millones de sacos exportados en el mismo mes de 2020. Si bien aún no se han podido poner al día las exportaciones de café, sí vale la pena destacar el importante trabajo logístico realizado para alcanzar el nivel actual de envíos, luego de que el principal puerto de Colombia, Buenaventura, por donde sale más del 60 % del café del país, durara más de 40 días bloqueado, explicó el gerente general de la Federación Nacional de Cafeteros, Roberto Vélez Vallejo.",1
37,"‘Primera Línea’ entregó la Universidad del Quindío en “deplorable estado de vandalización”, denuncia su rector. Cerca de 20 jóvenes que dicen ser miembros de la Primera Línea en esa región se habían tomado la universidad por más de 20 días. El consejero Presidencial de Seguridad Nacional, Rafael Guarín, arremetió en contra de dicho grupo, al advertir que no la integran, según él, jóvenes espontáneos que salen de barrios populares o pacíficas mamás. En su momento, el funcionario indicó que los de la primera línea no se pueden catalogar como “héroes”, a quienes, de acuerdo con el consejero presidencial, algunos políticos exaltan. Este martes, se conoció un nuevo hecho de vandalismo que se le atribuye a la primera línea, en esta ocasión en el departamento del Quindío, con lo que las críticas a este grupo de manifestantes siguen creciendo. El nuevo hecho en el que se ve envuelta la primera línea es un presunto hecho de robo y vandalización dentro de las instalaciones de la Universidad del Quindío, la cual se había tomado este grupo desde hace cerca de 25 días.",2
38,"El 9 de mayo, civiles vestidos de blanco en esta misma zona del sur de Cali conocida como Ciudad Jardín dispararon abiertamente a un grupo de indígenas que supuestamente se estaban metiendo a sus conjuntos. La zona alberga urbanizaciones cerradas con casas de campo, frondosa naturaleza tropical y seguridad privada.... ""Acá hay un sentido de comunidad que se manifestó ese día"", me explicó. ""Porque nos costó mucho llegar a ser el barrio in (de moda, acomodado) y queremos que se mantenga así"". ""No queremos hacerle daño nadie, pero también queremos que se respete lo nuestro; no puede ser que la protesta por los derechos de unos acabe con los derechos de otros"", concluyó. El auge de estos barrios en Cali se dio durante el apogeo del narcotráfico en los años 90, pero, según Tedesco, ""la comunidad los ha ido sacando (a los narcos)"".",3
39,"Como en las mejores batallas de rap, apareció un joven integrante de la Policía Nacional de Colombia para amenizar una tarde, donde centenares de personas se reunían para cumplir una jornada más del Paro Nacional en la ciudad de Medellín. El video fue publicado en la cuenta oficial de la Policía de Medellín donde se puede ver un centenar de personas haciendo un círculo en un parque del barrio Santa Lucía de la capital antioqueña, donde se puede ver al agente cantando hip-hop acompañado de los jóvenes que disfrutaron sus rimas y las aplaudieron.",0
40,"los jóvenes siempre han sido actores relevantes en los reclamos y las protestas sociales, sin embargo, el paro que generó un estallido social este año tiene una particularidad para ella: “Ahora los adultos, la generación anterior a nosotros como nuestros padres y abuelos, nos están reconociendo, antes no lo hacían”. De eso, precisamente, se trataba el IV Encuentro de Memorias. Danilo Rueda, coordinador de la Comisión Intereclesial de Justicia y Paz, explicó que para garantizar la no repetición del conflicto hay que entender que “cuando hablamos de territorios no son solo la ruralidad, sino también los territorios urbanos”.",1
41,"Andrés Escobar, el empresario que fue captado en video disparando en Ciudad Jardín, habló tras los hechos registrados el pasado viernes en este barrio del sur de Cali y luego de que fuera expuesto en redes sociales, donde lo calificaron de “asesino, paramilitar y genocida”. Aseguró que, por las fotos que han estado circulando en redes sociales, ha sido objeto de “injurias, calumnias, múltiples amenazas de manera acelerada”. Afirmó que “los disparos fueron para disuadirlos, ya que estaban avanzando para quemar” el CAI de Ciudad Jardín.",3
42,"Una patrullera de la Policía Nacional denunció este jueves que fue violada por vándalos en Cali, Valle del Cauca. La oficial se encontraba en labores de seguridad durante las manifestaciones del pasado 29 de abril cuando ocurrieron los hechos. Había sido asignada para brindar seguridad en un sector al oriente de Cali. En medio de los actos vandálicos, ella ingresó al CAI para protegerse. Pero los vándalos la emprendieron contra las instalaciones y lo prendieron fuego. Allí, esta mujer empezó a vivir los momentos más duros de su vida.",3
43,"No se permitirán bloqueos en próximas jornadas de manifestaciones: MinDefensa. El ministro Diego Molano, aseguró que hay información de inteligencia sobre que las disidencias de las Farc y el ELN buscan financiar actos violentos. Un nuevo mensaje le envió el gobierno a quienes pretenden tomarse las vías de hecho en medio de manifestaciones. Dijo el ejecutivo que no se permitirán actos de vandalismo ni bloqueos como ocurrido en las últimas jornadas del paro nacional.",2
44,"Ambas organizaciones están instaladas en la plazoleta frente al importante portal Américas, pero la primera línea se ha mostrado más resistente a un acuerdo. “Nos consideramos independientes. Respetamos las dinámicas del Comité del Paro, pero no las reconocemos como nuestras. No aceptamos el bajarse de la mesa ni que se acaben los bloqueos. La primera línea portal de la Resistencia sigue en pie de lucha y seguimos en un proceso de conformación de un movimiento político y, como tal, no vamos a descansar”, aseguró el Profe. Han sido claros en señalar que las vías de hecho no se van a abandonar por ahora y que defenderán a la población y a los manifestantes. “La primera línea prestará seguridad contra la represión estatal”, agregó. Pero ¿qué piden? Tienen al menos un pliego de 21 peticiones de carácter nacional y distrital.",2
45,"Con fecha del 11 de junio, desde la Cancillería se envió un mensaje a algunos nacionales que viven en otros países. En dicha carta la vicepresidenta señala que a pesar de estar por fuera, ellos pueden evidenciar que Colombia “es una nación que nos emociona porque ha surgido a pesar de muchas dificultades y divisiones, donde la exclusión y la desigualdad han sido el origen de muchos de los problemas que aún hoy nos aquejan”.",0
46,"El Gobierno de Iván Duque anunció este viernes 18 de Junio que modificó un decreto presidencial para limitar la definición de protesta pacífica y especificar que los bloqueos de vías -ya sean temporales o permanentes- no constituyen una forma de manifestación y por ello permite el ""uso legítimo de la fuerza"".",3
47,"Las protestas registradas en Colombia desde finales de abril han dejado al menos 27 muertos y más de 2.000 personas lesionadas, según un balance publicado este viernes por el Ministerio de Defensa y que cita como fuentes de información a la Fiscalía General de la Nación y la Policía Nacional.",3
48,"Los congresistas de la oposición que fueron denunciados por supuestamente apoyar a los jóvenes manifestantes del paro nacional pidieron protección internacional al Comité de Derechos Humanos de los Parlamentarios, de la Unión Interparlamentaria, porque creen que no tienen garantías de neutralidad de los organismos que los investigan como la Procuraduría.",0
49,"El ministro, Diego Molano, salió en defensa del papel de la fuerza pública. Durante su intervención, el funcionario reiteró que durante los actos violentos ha habido intereses de organizaciones al margen la ley, como las disidencias de las Farc y el ELN. Explicó que en Cali, Medellín, Popayán y Bogotá se han dado ataques sistemáticos a las entidades del Estado, como la Defensoría del Pueblo, la Fiscalía, la Procuraduría y la Policía, acciones que son plenamente organizadas, no por los manifestantes pacíficos sino por organizaciones criminales, en hechos que reiteró son terroristas. “¿Quién está detrás de la violencia, del ataque a las entidades? Los vamos a identificar a los responsables, los encontraremos y judicializaremos. No son supuestos ni hipótesis, lo de las disidencias y el ELN está comprobado como el caso de alias Jacobo, quien estaba incentivando el odio en las redes sociales”, señalo el funcionario. De igual manera Molano insistió en que las protestas pacíficas serán respetadas en el país, pero serán combatidos los actos violentos que comentan vándalos.",2
50,"Con fecha del 11 de junio, desde la Cancillería se envió un mensaje a algunos nacionales que viven en otros países. En dicha carta la vicepresidenta señala que a pesar de haber por fuera, ellos pueden evidenciar que Colombia “ es una nación que nos emociona porque ha surgido a pesar de muchas dificultades y divisiones, donde la exclusión y la variabilidad han sido el origen delaware muchos de los problemas que aún hoy nos aquejan ”.",0
51,"“La Fiscalía General de la Nación capturó, con la Policía Nacional, a nueve personas. Tres de ellas implicadas en la quema y ataque terrorista contra el Palacio. Se les impuso medida de aseguramiento en centro carcelario por parte de juez de garantías”, afirmó el fiscal Barbosa.",2
52,"El presidente Iván Duque ordenó en la noche del martes “el máximo despliegue operativo de la Fuerza Pública a nivel departamental y local, para desbloquear las vías en el país, amparados en el estricto apego a los derechos humanos y el respeto a la ley”.
Por su parte, el Comité catalogó el anuncio como una “declaración de guerra”, y convocó una ‘caravana nacional de solidaridad’ hacia Cali este 20 y 21 de mayo.",3
53,"Más de 2.700 panaderías y reposterías de Antioquia ya tienen escasez de insumos. También no se tiene insumos o los costos son altos para los negocios que venden la popular arepa de chócolo. Los principales ingredientes del pan, los buñuelos y las arepas no están llegando por los bloqueos y lo poco que se consigue está muy caro. Leonardo Guevara se recorrió este lunes, 24 de mayo, todos los almacenes de cadena y de sus proveedores en Medellín buscando la materia prima para su panadería artesanal",1
54,"«Soy una persona de bien», dice Andrés Escobar, el hombre que disparó en Cali: Andrés Escobar aseguró que la Policía agradeció su «solidaridad» con ellos, y permitieron que esta persona realizara los disparos. Ante esto, diferentes defensores de derechos humanos aseguraron que la Policía, además de disparar, permitió que otros ciudadanos lo hicieran. Entre esos ciudadanos estaba Escobar, quien aseguró que lo hizo para «defender la propiedad privada de mi comuna», y que lo que hizo lo considera «normal para cualquier ser humano. Yo era consciente de que me estaban filmando».",3
55,"Según especialistas consultados, el paro nacional también evidenció un incremento en el nivel de implicación política y social de diversos sectores civiles del país, como contrapeso a la falta de respuestas rápidas y concretas por parte de varios mandatarios a las necesidades delaware sus gobernados y a la agudización de la crisis de integridad en las instituciones.",0
56,"El presidente Iván Duque volvió este miércoles hacer referencia a los bloqueos que se están registrando en varias regiones del país, en medio de las jornadas de protestas derivadas del paro nacional y agudizó su postura frente a esos hechos. El jefe de Estado afirmó que Colombia no puede estar “secuestrada” por los bloqueos, al insistir que esa práctica, que según el Gobierno nacional viola la Constitución, afecta el proceso y política de reactivación segura de la economía, el desarrollo del empleo y hasta la vacunación masiva contra el coronavirus.",2
