,Item (Texto),GravedadMode
10,"el paro nacional deja más pérdidas que ganancias para la sociedad en general. Desde luego hubo ganadores, sobre todo aquellos que se alimentan de la polarización o de las víctimas ajenas para validar su discurso. Sin embargo, el balance general es desolador: estamos más pobres, más divididos y más dolidos que antes del 28 de abril del 2021. Salir adelante será más difícil, y de todos dependerá el subsanar estas tres grandes y peores pérdidas que deja un paro ya sin fuelle.",1
11,"Durante los últimos 26 días desde que se convocó a Paro Nacional como negativa a las directrices del Gobierno de Iván Duque, la Fiscalía General y la Defensoría del Pueblo tienen en sus reportes 43 personas fallecidas de los cuales 17 de ellas tienen nexo directo con las protestas. Los lugares del país que más reportan muertes es Cali con ocho casos, seguido de Valle del Cauca (3), Cundinamarca (3), Tolima (1) y Bogotá (1). Adicionalmente, hay 7 muertes en proceso de verificación, y sobre 19 tienen evidencia para establecer que no guardan vínculo con las movilizaciones.",3
12,"El parque Mundo al que se refiere es un espacio público ubicado en inmediaciones del portal que ya ha sido ocupado con campamentos. Concejales han denunciado la ocupación de este espacio y el Distrito está al tanto de su existencia. Hace unas semanas, de hecho, se ofrecieron allí servicios distritales en el marco de una feria comunitaria. Ante la posibilidad de que el Distrito no conceda este espacio, ‘el Profe’ aseguró que están abiertos “a escuchar otras opciones”.",1
13,"Este jueves en las sesiones conjuntas de las Comisiones Primeras de Senado y Cámara se debate el proyecto de ley que busca una reforma a fondo del Código Disciplinario que propuso la Procuraduría General de la Nación, en cabeza de Margarita Cabello. Una iniciativa que plantea cambios drásticos del Ministerio Público y que no convence a la oposición, que ha denunciado en estos últimos días que aprobarlo sería entregar superpoderes de juez a la procuradora. La reforma se presenta luego de que la Corte Interamericana de Derechos Humanos (Corte IDH) instara al Estado colombiano ajustar las competencias sancionatorias de la entidad en investigaciones contra servidores públicos de elección popular por casos de corrupción y violación de derechos humanos, por el caso de Gustavo Petro que fue destituido cuando fue alcalde de Bogotá de manera irregular por el exprocurador Alejandro Ordóñez.",1
14,"Sin embargo, las circunstancias de orden público han sido protagonistas, sobre todo en el sureste del país y en otras regiones en las que se han registrado distintos actos de violencia y bloqueos. Frente a ello, la CCOA hizo hincapié en que “Con los bloqueos perdemos todos, se perjudica a los campesinos, comerciantes, empleados, empresarios, estudiantes y jóvenes, pero quienes más pierden finalmente son los mismos actores sociales y el Comité Nacional del Paro. Estas enturbian sus justas pretensiones“.",2
15,"Si sumamos sus representantes a la Cámara y senadores, Antioquia se convierte en el departamento con mayor cantidad de congresistas: 28 en total. Son 18 representantes y 10 senadores (de origen antioqueño o que concentran su votación en el departamento). En su gran mayoría, se alinearon con Duque para salvar al ministro de Defensa, Diego Molano, sobre quien se adelantó una moción de censura en dos tiempos que buscaba retirarlo del cargo debido a su errático manejo de la fuerza pública en el marco del paro nacional; sus comentarios denigrantes sobre la protesta social y su indiferencia con los miles de víctimas que sigue dejando la represión policial.",2
16,"Motilonas Rap es un grupo de rap conformado por Johana Ortega Cabarico y Denys Aleyda Cáceres Cabarico, quienes le dieron vida en el año 2010 en el municipio de Tibú (Norte de Santander). Su nombre artístico es un homenaje al pueblo originario Barí, conocidos como Motilones Barí, quienes han habitado y resistido históricamente en este territorio. Para las Motilonas, el rap es una herramienta que permite reconstruir la memoria, fortalecer el tejido social, devolver la esperanza y aportar a la transformación territorial a través del arte. «¿Cuándo será la última vez que escribiremos a nuestro país que estamos cansados de la muerte, de la guerra, la miseria y todo lo que nos duele? A gritos y con digna rabia nos volvemos a levantar con rap hasta que nos escuchen, y en medio del paro nacional no seremos la excepción», expresó Denys Cáceres.",0
17,Vándalos quemaron un bus de TransMilenio en la estación Terreros de Soacha. TransMileno suspendió el servicio de la ruta G520. Un gigantesco trancón de más de dos kilómetros se registra en la entrada sur de Bogotá.,1
18,"Cucho' Hernández dijo presente en las protestas realizadas en España. El futbolista colombiano alzó su voz en España. Juan Camilo ´Cucho’ Hernández ha manifestado en sus redes sociales el amor que tiene por su Colombia, en momentos en los que han sido varias las figuras públicas pronunciándose por el contexto social de los últimos días. “Colombia tierra querida”, fue el primer mensaje del futbolista del Getafe en sus redes sociales.",0
19,"Ningún organismo puede exigirle a Colombia aceptar bloqueos: Álvaro Uribe. El expresidente de Colombia Álvaro Uribe Vélez rechazó en su cuenta de Twitter que alguna entidad u organización pudiera exigirle a Colombia aceptar los bloqueos a manera de protestas argumentado que se desconoce el daño que esto genera en la sociedad. La Comisión Interamericana de Derechos Humanos, CIDH, entregará este miércoles un balance de las protestas sociales en Colombia, un mes después de la visita de sus delegados al país, en el marco del paro nacional. ",1
20,"Las empanadas y el pastel de yuca sufren las consecuencias del paro nacional. .. Estos dos alimentos están sufriendo las consecuencias del paro nacional. Por falta estado diamante cuestión prima, existen serios problemas para prepararlos. Harina, azúcar, huevo, papa y yuca escasean.",0
21,Los bloqueos en el país han dejado pérdidas del orden de 516 mil millones de pesos para el comercio paisa y cerca de nueve de cada diez empresarios del sector (88 %) reportan escasez de productos. La situación es adversa y ha provocado que se dejen de percibir $18 mil millones diarios.,2
22,"Amnistía Internacional (AI) urgió este jueves a Estados Unidos a que suspenda el suministro de armas a Colombia por su uso contra manifestantes en las protestas antigubernamentales que han estallado en esa nación suramericana. La organización, con sede en Londres, consideró verificado que el Gobierno presidido por el derechista Iván Duque ""está utilizando indebidamente armas y equipos de Estados Unidos para cometer violaciones de derechos humanos contra manifestantes en Colombia"". Por ello, AI instó al secretario de Estado de EE.UU., Antony Blinken, a que ""cese de inmediato el suministro, venta o transferencia directa o indirecta de material utilizado para la represión"".",3
23,"A simple vista, todo lo que ha dicho Petro es claramente una exageración o una mentira. Sin embargo, en un ambiente caldeado y violento, sus palabras se convierten en gasolina, y lo único que hacen es encender más el odio en momentos en que los colombianos exigen grandeza y sensatez de parte de sus líderes políticos para poder sacar adelante las reformas que demandan los ciudadanos, principalmente los jóvenes. Por esta razón, Petro se equivoca y está jugando, literalmente, con fuego: lo que hoy puede hacerlo popular mañana podría pasarle una costosa factura en términos políticos y dejarlo sin opciones en las presidenciales.",1
24,"Una encuesta de Confecámaras reportó que 90,4% de los 12.979 empresarios consultados dijeron que, de los puestos de trabajo que generan, entre uno y cinco están en riesgo por los efectos del paro y los bloqueos. Así mismo, una encuesta de la Cámara de Comercio de Bogotá encontró que, de continuar con la situación de orden público, 21% de las compañías en la capital reduciría el personal contratado.",2
25,"""Rechazamos la intención de los manifestantes de coger los barrios populares de escudos para refugiarse, en eso también hemos solicitado a la Policía a no caer en esas provocaciones"", aseguró el alcalde de Cartago, Víctor Álvarez. En retaliación algunos manifestantes vandalizaron las instalaciones del Hospital San Juan de Dios, también una ambulancia e incineraron el único carro tanque de los bomberos voluntarios con el que contaba el municipio.",2
26,"Marbelle nunca ha ocultado su uribismo. Es más, en estos días convulsos, violentos, su discurso se ha radicalizado. A pesar de que Petro no ha hecho otra cosa que llamar a la calma, Marbelle insiste en que fue el senador de la Colombia Humana quien incendió Cali, quien vive una verdadera batalla campal. Sin embargo, con todo el cariño, Tatán Mejía la contradijo y le recordó que había sido Uribe, con sus trinos, quien radicalizó la protesta",0
27,"Marbelle nunca ha ocultado su uribismo. Es más, en estos días convulsos, violentos, su discurso se ha radicalizado. A pesar de que Petro no ha hecho otra cosa que llamar a la calma, Marbelle insiste en que fue el senador de la Colombia Humana quien incendió Cali, quien vive una verdadera batalla campal. Sin embargo, con todo el cariño, Tatán Mejía la contradijo y le recordó que había sido Uribe, con sus trinos, quien radicalizó la protesta",0
28,"Las redes sociales fueron testigo de una nueva polémica protagonizada por Miguel Polo Polo, quien compartió, desde su cuenta de Twitter, un nuevo montaje que involucra al senador Gustavo Petro y en el cual sugiere que el dirigente de la Colombia Humana es un criminal perseguido por la justicia. Inclusive, indica el trino del militante político que habría una supuesta recompensa para dar con su paradero.",1
29,"Cabal realizó un comentario respondiendo a una crítica que Miguel Polo, activista colombiano, hizo sobre el papel que ha desempeñado Luisito Comunica desde su llegada al país. “Luisito me cae bien, pero si viene a hacer ver a los del bloqueo como unos justicieros sociales, cuando son unos bandidos que violan los derechos a la libre circulación, trabajo y salud de la ciudadanía, mejor que se regrese a México. Suficiente tenemos con las ONG de Izquierda”, aseguró Miguel Polo a través de sus redes sociales. Sobre este comentario, la congresista perteneciente a la bancada del Centro Democrático respondió diciendo: “¿Quién lo patrocina?”. Este hecho fue criticado por diferentes sectores y grupos sociales que apoyan la protesta social que se desarrolla en Colombia, argumentando que no hay ningún tinte político detrás de la labor que Luisito está desempeñando en el territorio nacional.",1
30,"Desde su fundación, medios como RCN fueron apadrinados por poderosos empresarios y elites políticas para que defiendan lo indefendible, los intereses del statu quo. En contraste, las redes sociales muestran las cosas mismas. Un ejemplo de esto es el paro nacional en curso. Han sido las redes —que se han convertido en una suerte de bistró o cafés-ágora— las que han recogido su riqueza teórico-práctica y político-social. Entre otros hechos, el parlamento ha enfatizado los siguientes: el esplendor de la fiesta democrática, que llegó al cénit en ciudades como Cali, que pasó de ser la sucursal del cielo a ser la capital de la resistencia; la profundidad sentipensante de emociones políticas como la rabia, prima-hermana de la solidaridad y el amor, que muta en indignación, y la indignación, en resistencia multitudinaria y dignificante; el verdadero vandalismo de cuello blanco (Hidroituango, Reficar, Electricaribe, Odebrecht, Chirajara, carrusel de la contratación, Túnel de la Línea, Saludcoop...), que ha dejado al país mucho peor que cualquier estación de Transmilenio; la deficiente y demagoga campaña de vacunación; el colapso y la podredumbre de las instituciones; la insensatez de confundir la opinión de personas de la farándula e influencers con el argumento de expertos analistas políticos. Este es solo el inicio.",2
31,"Sí, no hay nada tan importante como la vida. Pero para que esta se desarrolle, el progreso es necesario. La pandemia, entre otras cosas, nos enseñó el infinito valor de nuestro tejido empresarial, del empleo y de una adecuada infraestructura pública. Todo lo anterior fue blanco de los manifestantes, que se dedicaron a colapsar la economía del país como mecanismo de presión. Según el Ministerio de Hacienda, las pérdidas ascienden a 10,3 billones de pesos. Por otra parte, la ANDI asegura que el 84% de las empresas manifestaron sentirse afectadas por un paro que puso en jaque a más de 800.000 empleos",2
32,"La protesta en Colombia tiene su origen en una subida de impuestos a la que se le ha sumado un gran malestar social. La actuación de la policía no ha ayudado a apaciguar ese descontento. Jerónimo Castillo, investigador de la fundación Ideas para la Paz, un laboratorio de ideas, considera que las autoridades no han sabido responder a las demandas de la calle. “Hay un Estado que se ha ido desmontando su bienestar y se ha concentrado en asuntos policiales (la guerrilla, la guerra contra el narco). Ahora ha sido incapaz de comprender que hay un cambio en la manera de entender la gobernanza porque se tiene que negociar con múltiples actores sociales y políticos. Pero la única respuesta es policial”, sostiene.",2
33,"El desgarrador relato de Ángel Campos, patrullero a quien intentaron quemar vivo durante el paro. El uniformado resultó quemado por una bomba tipo molotov en medio de los fuertes disturbios del miércoles en Bucaramanga. Otros dos patrulleros resultaron heridos en los actos vandálicos. Rechazamos los actos vandálicos y criminales registrados esta noche contra la vida e integridad de nuestros policías en Bucaramanga. Tres compañeros resultaron heridos con bombas incendiarias y objetos contundentes”, dijo la Policía en Twitter, tras lo acontecido en la capital de Santander. “Era una reunión de amigos, de camaradas”: Líder social Diana Parafán critica encuentro de CIDH con víctimas. El uniformado perteneciente al Esmad dijo estar bastante deprimido y afectado psicológicamente por lo acontecido contra su vida este miércoles, pues no llegó a pensar que una situación de esas le fuera a pasar a él. “Esperaba que mi familia me esperara en mi casa, que hoy que estoy cumpliendo un año más de vida pudiera estar compartiendo con ellos”, dijo el uniformado, quien se recupera en un clínica.",3
34,"El objetivo de las organizaciones sociales, indígenas, campesinas que integran la minga era consolidar las garantías para la vida y los derechos humanos de los ciudadanos e instalar la mesa técnica de diálogo.",0
35,"El 9 de mayo, civiles vestidos de blanco en esta misma zona del sur de Cali conocida como Ciudad Jardín dispararon abiertamente a un grupo de indígenas que supuestamente se estaban metiendo a sus conjuntos. La zona alberga urbanizaciones cerradas con casas de campo, frondosa naturaleza tropical y seguridad privada.... ""Acá hay un sentido de comunidad que se manifestó ese día"", me explicó. ""Porque nos costó mucho llegar a ser el barrio in (de moda, acomodado) y queremos que se mantenga así"". ""No queremos hacerle daño nadie, pero también queremos que se respete lo nuestro; no puede ser que la protesta por los derechos de unos acabe con los derechos de otros"", concluyó. El auge de estos barrios en Cali se dio durante el apogeo del narcotráfico en los años 90, pero, según Tedesco, ""la comunidad los ha ido sacando (a los narcos)"".",3
36,"Los desmanes de la jornada de protesta terminaron afectando la libertad de prensa en el país. SEMANA y RCN vivieron actos de vandalismo. La directora de SEMANA, la periodista Vicky Dávila, relató que un grupo de vándalos llegó a la instalaciones y atentó contra el edificio donde opera el grupo editorial, pero también otras empresas. “Este ataque no es contra RCN ni SEMANA, es contra la prensa. Es fruto del odio de políticos y colegas. Ojalá esto no termine en una fatalidad contra un periodista de cualquiera de los dos medios. Políticos que tienen aspiraciones presidenciales que promueven el odio. Rechazamos rotundamente estos ataques”, dijo. RCN también se pronunció. “Desde Noticias RCN y NTN24 rechazamos el ataque sufrido en contra de las instalaciones del Canal RCN promovido y ejecutado por un grupo de violentos que ocurrió hoy a las 3 de la tarde y que dejó daños materiales y puso en riesgo la integridad de periodistas y trabajadores”, escribió el canal. Por su parte, su director, José Manuel Acevedo calificó el hecho como “un ataque en contra de la libertad de prensa y expresión”.",2
37,"los jóvenes siempre han sido actores relevantes en los reclamos y las protestas sociales, sin embargo, el paro que generó un estallido social este año tiene una particularidad para ella: “Ahora los adultos, la generación anterior a nosotros como nuestros padres y abuelos, nos están reconociendo, antes no lo hacían”. De eso, precisamente, se trataba el IV Encuentro de Memorias. Danilo Rueda, coordinador de la Comisión Intereclesial de Justicia y Paz, explicó que para garantizar la no repetición del conflicto hay que entender que “cuando hablamos de territorios no son solo la ruralidad, sino también los territorios urbanos”.",1
38,"Andrés Escobar, el empresario que fue captado en video disparando en Ciudad Jardín, habló tras los hechos registrados el pasado viernes en este barrio del sur de Cali y luego de que fuera expuesto en redes sociales, donde lo calificaron de “asesino, paramilitar y genocida”. Aseguró que, por las fotos que han estado circulando en redes sociales, ha sido objeto de “injurias, calumnias, múltiples amenazas de manera acelerada”. Afirmó que “los disparos fueron para disuadirlos, ya que estaban avanzando para quemar” el CAI de Ciudad Jardín.",3
39,"El Gobierno de de Iván Duque modificó el viernes último el decreto para limitar la definición de la protesta pacífica, con lo cual, desde ahora, los bloqueos de las vías dejan de ser una forma de protestas, por lo que se permite el ""uso de la fuerza"" por parte de las fuerzas de seguridad.",2
40,"La criminalización del derecho a la protesta, que cuando la única herramienta es cortar una ruta o hacer una manifestación artística empieza la persecución a través de redes sociales, a dispararles, hacerles perder la visión, golpearlos, torturarlos, generarles miedo. No son hechos aislados porque es un política de Estado para que eso ocurra. Hay un aval. El Esmad y la Policía actúan y violan los derechos humanos sabiendo que los van aplaudir y condecorar. También el cerco mediático de los grandes medios de comunicación que victimizan al agresor. Hacen quedar como que los manifestantes son unos vándalos y los que disparan son los buenos y la “gente de bien”. Para los medios, los violentos son los que se están defendiendo con un escudo de chapa, y los buenos son los que están disparando con gases vencidos, a los ojos, los que detienen arbitrariamente y torturan. ",3
41,"Luisito Comunica llegó a Cali para registrar el paro nacional en Colombia 2021. El youtuber llegó al país con el fin de documentar las protestas y contrastarlas con la información dada por los diferentes medios. A pesar de su firme objetivo, varias personas se han acercado para tomarse fotos con él. En la cuenta de YouTube destacan algunos videos, donde el creador de contenidos ha difundido las diversas situaciones que viven otras naciones. Desde antes primer estado llegar al país, a través de redes sociales expuso los diferentes hechos del paro nacional y los ataques que se dieron hacia los marchantes que protestaban pacíficamente.",0
42,"El Gobierno de Iván Duque anunció este viernes 18 de Junio que modificó un decreto presidencial para limitar la definición de protesta pacífica y especificar que los bloqueos de vías -ya sean temporales o permanentes- no constituyen una forma de manifestación y por ello permite el ""uso legítimo de la fuerza"".",3
43,"Las protestas registradas en Colombia desde finales de abril han dejado al menos 27 muertos y más de 2.000 personas lesionadas, según un balance publicado este viernes por el Ministerio de Defensa y que cita como fuentes de información a la Fiscalía General de la Nación y la Policía Nacional.",3
44,"Con fecha del 11 de junio, desde la Cancillería se envió un mensaje a algunos nacionales que viven en otros países. En dicha carta la vicepresidenta señala que a pesar de estar por fuera, ellos pueden evidenciar que Colombia “es una nación que nos emociona porque ha surgido a pesar de muchas dificultades y divisiones, donde la exclusión y la desigualdad han sido el origen de muchos de los problemas que aún hoy nos aquejan”.",0
45,"Motilonas Rap es un grupo de rap conformado por Johana Ortega Cabarico y Denys Aleyda Cáceres Cabarico, quienes le dieron vida en el año 2010 en el municipio de Tibú (Norte de Santander ). Su nombre artístico es un homenaje al pueblo originario Barí, conocidos como Motilones Barí, quienes han habitado y resistido históricamente en este terreno. Para las Motilonas, el rap es una herramienta que permite reconstruir la memoria, fortalecer el tejido social, devolver la esperanza y aportar a la transformación territorial a través del arte. « ¿ Cuándo será la última vez que escribiremos a nuestro país que estamos cansados de la muerte, de la guerra, la miseria y todo lo que nos duele? A gritos y con digna rabia nos volvemos a levantar con rap hasta que nos escuchen, y en medio del paro nacional no seremos la excepción », expresó Denys Cáceres.",0
46,"El viceministro de Salud y Protección Social, Luis Alexander Moscoso, le dijo a Caracol Radio que Caldas está afrontando el cuarto pico de la pandemia por COVID-19 debido a las aglomeraciones que se registraron en las marchas y protestas, en las cuales no se guardó ningún protocolo de bioseguridad.",1
47,"“La Fiscalía General de la Nación capturó, con la Policía Nacional, a nueve personas. Tres de ellas implicadas en la quema y ataque terrorista contra el Palacio. Se les impuso medida de aseguramiento en centro carcelario por parte de juez de garantías”, afirmó el fiscal Barbosa.",2
48,"El presidente Iván Duque ordenó en la noche del martes “el máximo despliegue operativo de la Fuerza Pública a nivel departamental y local, para desbloquear las vías en el país, amparados en el estricto apego a los derechos humanos y el respeto a la ley”.
Por su parte, el Comité catalogó el anuncio como una “declaración de guerra”, y convocó una ‘caravana nacional de solidaridad’ hacia Cali este 20 y 21 de mayo.",3
49,"Más de 2.700 panaderías y reposterías de Antioquia ya tienen escasez de insumos. También no se tiene insumos o los costos son altos para los negocios que venden la popular arepa de chócolo. Los principales ingredientes del pan, los buñuelos y las arepas no están llegando por los bloqueos y lo poco que se consigue está muy caro. Leonardo Guevara se recorrió este lunes, 24 de mayo, todos los almacenes de cadena y de sus proveedores en Medellín buscando la materia prima para su panadería artesanal",1
50,"«Soy una persona de bien», dice Andrés Escobar, el hombre que disparó en Cali: Andrés Escobar aseguró que la Policía agradeció su «solidaridad» con ellos, y permitieron que esta persona realizara los disparos. Ante esto, diferentes defensores de derechos humanos aseguraron que la Policía, además de disparar, permitió que otros ciudadanos lo hicieran. Entre esos ciudadanos estaba Escobar, quien aseguró que lo hizo para «defender la propiedad privada de mi comuna», y que lo que hizo lo considera «normal para cualquier ser humano. Yo era consciente de que me estaban filmando».",3
51,"“ No crean que estábamos haciendo barricadas, estamos construyendo el país democrático que toda Colombia merece ante la incapacidad actual. De alguna manera las soluciones exploradas por el equipo económico que empieza a trabajar son las que la personas demanda en las calles ”, escribió Petro sobre el encuentro. La cantante de tecno carrilera decidió contestar el anuncio de un futuro gobierno que hizo Petro, reiterando las críticas que mantiene en contra del líder político. “ Alguien que le diga que está alucinando … Yo quiero fumar de esa que le venden a él a ver si me lanzo a la presidencia ”, escribió Marbelle en su cuenta de twitter, tuerca un mensaje que decoró con emoticones de carcajada.",0
52,"El presidente Iván Duque volvió este miércoles hacer referencia a los bloqueos que se están registrando en varias regiones del país, en medio de las jornadas de protestas derivadas del paro nacional y agudizó su postura frente a esos hechos. El jefe de Estado afirmó que Colombia no puede estar “secuestrada” por los bloqueos, al insistir que esa práctica, que según el Gobierno nacional viola la Constitución, afecta el proceso y política de reactivación segura de la economía, el desarrollo del empleo y hasta la vacunación masiva contra el coronavirus.",2
53,"Durante las últimas horas se hizo viral un video en el que se le ve a un hombre pegándole correazos a su hijo por estar dentro de una manifestación en el sector de Yomasa, en el suroriente de la capital. En el video se ve cómo, aparentemente, el joven es capturado por los agentes de Policía del Esmad; segundos después llega su padre a “rescatarlo”, pero la respuesta del papá fue sorpresiva. En vez de ‘darle una mano’, decidió literalmente pegarlo correazos a su hijo por su accionar en las calles y no tuvo en cuenta las miradas de todos los que se encontraban en el lugar.",0
54,"Agente del CTI habría sido asesinado por linchamiento en Cali. Una acción criminal y despiadada quedó en video cuando varios delincuentes lincharon a un funcionario de la Fiscalía a quien acusaron de disparar en contra de manifestantes en la ciudad de Cali. Se trata de un agente del Cuerpo Técnico de Investigaciones (CTI) que fue linchado en la calle y a la vista de decenas de personas, que se quedaron mirando cómo mataban a patadas al funcionario en un aparente caso de justicia por propia mano.",3
55,"Durante las manifestaciones en Colombia por cuenta del paro nacional, el ‘Capitán Colombia’ se hizo viral en redes sociales y muchos lo comparan con el popular héroe de Marvel, el ‘Capitán América’. El hombre hace parte de la Primera Línea, un colectivo que a punta de caretas, cascos y escudos improvisados hacen frente al Escuadrón Móvil Antidisturbios (ESMAD), cuando estos intervienen con gases lacrimógenos para dispersar protestas. Son muchas las fotos y personajes que protagonizan este grupo, entre ellos madres de familia, estudiantes y el particular ‘Capitán Colombia’, un hombre que se está robando todas las miradas de las mujeres. Por ahora, se desconoce su verdadera identidad, pero su cuerpo musculoso y su escudo de protección han sido suficientes para que el hombre se haya vuelto viral en redes sociales. Sus fans crean historias, lanzan piropos y crean historias en honor a uno de los que hacen parte de la Primera Línea en Colombia. ",0
56,"Como en las mejores batallas delaware rap, apareció un joven integrante de la Policía Nacional de Colombia para amenizar una tarde, donde centenares de personas se reunían para cumplir una jornada más del Paro Nacional en la ciudad de Medellín. El video fue publicado en la cuenta oficial estado diamante la Policía de Medellín donde se puede ver un centenar de pueblo haciendo un círculo en un parque del barrio Santa Lucía de la capital antioqueña, donde se puede ver al agente cantando hip - hop acompañado de los jóvenes que disfrutaron sus rimas y las aplaudieron.",0
57,"Este lunes Colombia cumplió dos meses de movilizaciones por el Paro Nacional. Las manifestaciones de la semana se vieron marcadas por un nuevo recrudecimiento de la violencia. Tras la protesta del 29 de junio contra la brutalidad policial en Bogotá, tres oficiales han sido suspendidos por agredir físicamente a dos periodistas y a un joven civil. Por otro lado, en Bogotá fracasó el intento por instalar la mesa de diálogo con los representantes de la llamada Primera Línea.",3
58,"No se permitirán bloqueos en próximas jornadas de manifestaciones: MinDefensa. El ministro Diego Molano, aseguró que hay información de inteligencia sobre que las disidencias de las Farc y el ELN buscan financiar actos violentos. Un nuevo mensaje le envió el gobierno a quienes pretenden tomarse las vías de hecho en medio de manifestaciones. Dijo el ejecutivo que no se permitirán actos de vandalismo ni bloqueos como ocurrido en las últimas jornadas del paro nacional.",1
