,Item (Texto),SesgoMode
31,"De acuerdo con analistas, a causa de la anarquía que se vivió durante el estallido social, la seguridad y el orden volvieron a convertirse en temas claves para la agenda política de los actuales gobiernos -sin distingo de sus filiaciones políticas- y para el panorama electoral del 2022.",0
32,"Bachelet ha ofrecido un balance sobre las víctimas de la represión militar en Colombia aseverando que desde el 28 de abril —fecha en la que comenzaron las movilizaciones— hasta el 16 de junio, su oficina ha registrado 56 muertes, incluyendo 54 civiles y dos policías, así como 49 posibles víctimas de violencia sexual.",0
33,"El presidente Iván Duque ordenó en la noche del martes “el máximo despliegue operativo de la Fuerza Pública a nivel departamental y local, para desbloquear las vías en el país, amparados en el estricto apego a los derechos humanos y el respeto a la ley”.
Por su parte, el Comité catalogó el anuncio como una “declaración de guerra”, y convocó una ‘caravana nacional de solidaridad’ hacia Cali este 20 y 21 de mayo.",0
34,"Más de 2.700 panaderías y reposterías de Antioquia ya tienen escasez de insumos. También no se tiene insumos o los costos son altos para los negocios que venden la popular arepa de chócolo. Los principales ingredientes del pan, los buñuelos y las arepas no están llegando por los bloqueos y lo poco que se consigue está muy caro. Leonardo Guevara se recorrió este lunes, 24 de mayo, todos los almacenes de cadena y de sus proveedores en Medellín buscando la materia prima para su panadería artesanal",1
35,"Sin embargo, las circunstancias de orden público han sido protagonistas, sobre todo en el sureste del país y en otras regiones en las que se han registrado distintos actos de violencia y bloqueos. Frente a ello, la CCOA hizo hincapié en que “Con los bloqueos perdemos todos, se perjudica a los campesinos, comerciantes, empleados, empresarios, estudiantes y jóvenes, pero quienes más pierden finalmente son los mismos actores sociales y el Comité Nacional del Paro. Estas enturbian sus justas pretensiones“.",1
36,"Los desmanes de la jornada de protesta terminaron afectando la libertad de prensa en el país. SEMANA y RCN vivieron actos de vandalismo. La directora de SEMANA, la periodista Vicky Dávila, relató que un grupo de vándalos llegó a la instalaciones y atentó contra el edificio donde opera el grupo editorial, pero también otras empresas. “Este ataque no es contra RCN ni SEMANA, es contra la prensa. Es fruto del odio de políticos y colegas. Ojalá esto no termine en una fatalidad contra un periodista de cualquiera de los dos medios. Políticos que tienen aspiraciones presidenciales que promueven el odio. Rechazamos rotundamente estos ataques”, dijo. RCN también se pronunció. “Desde Noticias RCN y NTN24 rechazamos el ataque sufrido en contra de las instalaciones del Canal RCN promovido y ejecutado por un grupo de violentos que ocurrió hoy a las 3 de la tarde y que dejó daños materiales y puso en riesgo la integridad de periodistas y trabajadores”, escribió el canal. Por su parte, su director, José Manuel Acevedo calificó el hecho como “un ataque en contra de la libertad de prensa y expresión”.",1
37,"El presidente Iván Duque volvió este miércoles hacer referencia a los bloqueos que se están registrando en varias regiones del país, en medio de las jornadas de protestas derivadas del paro nacional y agudizó su postura frente a esos hechos. El jefe de Estado afirmó que Colombia no puede estar “secuestrada” por los bloqueos, al insistir que esa práctica, que según el Gobierno nacional viola la Constitución, afecta el proceso y política de reactivación segura de la economía, el desarrollo del empleo y hasta la vacunación masiva contra el coronavirus.",1
38,"Agente del CTI habría sido asesinado por linchamiento en Cali. Una acción criminal y despiadada quedó en video cuando varios delincuentes lincharon a un funcionario de la Fiscalía a quien acusaron de disparar en contra de manifestantes en la ciudad de Cali. Se trata de un agente del Cuerpo Técnico de Investigaciones (CTI) que fue linchado en la calle y a la vista de decenas de personas, que se quedaron mirando cómo mataban a patadas al funcionario en un aparente caso de justicia por propia mano.",1
39,"María del Rosario Guerra: con estos 40 días de paro no ganó absolutamente nadie; retrocedimos casi 10 años. El Comité Nacional de Paro anunció este martes la suspensión temporal de las movilizaciones que se llevan a cabo en varias regiones del país. Después de más de un mes de protestas en el país, el Comité Nacional de Paro anunció que harán una suspensión temporal de las movilizaciones. “Hemos decidido hacer una interrupción temporal de las movilizaciones recurrentes que veníamos haciendo los miércoles. Eso no significa que la movilización social se pare en Colombia”, dijo Francisco Maltés, presidente de la Central Unitaria de Trabajadores (CUT) e integrante del comité. María del Rosario Guerra, senadora del Centro Democrático, dijo que tristemente lo que dejó el paro en el país son personas fallecidas entre civiles e integrantes de la fuerza pública, así como un empobrecimiento de la población. La congresista del uribismo también recalcó que con el paro “no ganó absolutamente nadie” y que por el contrario Colombia retrocedió al menos diez años.",1
40,"En el marco de las jornadas de manifestaciones y desmanes que se han adelantado en el país por más de 18 días, desde diferentes sectores del Gobierno Nacional y fuerza pública han manifestado que las marcas han estado siendo infiltradas por organizaciones criminales, con el propósito de desestabilizar al país... se ha expuesto el plan que estaría ejecutando las disidencias de las Farc y milicias urbanas del ELN para lograr el control de la ciudad de Cali.  El medio de comunicación indicó que existen una serie de grabaciones junto a información de inteligencia, que evidencias cómo se desarrolló un presunto ‘plan criminal’ en el marco de las manifestaciones en Cali. Este plan habría partido de la implementación de unos estímulos para promover el vandalismo en varias zonas de la ciudad, lo cual se reflejó en saqueos, destrucción de propiedad pública y privada, junto a enfrentamientos de encapuchados y agentes del Esmad.",1
41,"En las últimas horas, un video de una clase virtual se volvió viral. El hecho ocurrió en el Colegio la Merced, de Cali, Valle del Cauca, y muestra el momento en el que el padre de un estudiante le reclama al profesor por, según él, ""adoctrinamiento sobre el paro nacional"". el maestro les hizo un llamado a sus estudiantes para reflexionar. ""Los invito a que, junto a sus familias, no se queden en la inmediatez de las situaciones, sino que hagamos el esfuerzo de proyectarnos en la historia y en el futuro, y podamos analizar y reflexionar"", dijo el hombre. Y puso de ejemplo los peajes del país que han sido quemados en las últimas semanas: ""Miren que lo de los peajes, hace años, en diferentes regiones del país, vienen de las personas quejándose. Nada justifica la violencia, pero hay factores sociales que explican por qué la gente se vuelve violenta"". En la pantalla compartida por el profesor, había un dibujo con la frase 'a parar para avanzar'. Segundos después, uno de los padres de un estudiante habló. ""No me parece que sea un encuentro de estudiantes. La verdad, llevan 45 días sin clases para que usted venga a darles una clase de adoctrinamiento"", dijo el hombre. Le advirtió que estaba grabando la clase y dijo que le parecía una ""falta de respeto con los muchachos"". El padre de familia denuncia que el profesor de arte, del Colegio La Merced de Cali, durante las clases, está adoctrinando a los niños sobre el paro nacional.",1
42,"Durante su discurso inaugural de la 47 sesión del Consejo de Derechos Humanos de Naciones Unidas (CDHNU) en la ciudad suiza de Ginebra, la alta comisionada de las Naciones Unidas para los Derechos Humanos, Michelle Bachelet, ha asegurado este lunes que su oficina ha expresado su “grave preocupación” por las denuncias de “serias violaciones” de los derechos humanos cometidas por las fuerzas de seguridad durante las protestas antigubernamentales en Colombia.",-1
43,"Colombia: la CIDH inicia la verificación de los abusos de DD. HH. en el marco de las protestas. Los investigadores y analistas de DeJusticia emitieron algunas recomendaciones que la CIDH podría trasladarle al Gobierno de Duque, orientadas a garantizar los derechos y libertades de los colombianos a protestar de forma pacífica, promover un diálogo con todos los sectores de la sociedad civil, pero también para escuchar a las voces de las víctimas y brindarles un reconocimiento que todavía no se ha dado desde la institucionalidad.",-1
44,"Y el despliegue de fuerza, ante la mirada de algunos policías cómplices, hizo que los manifestantes sintieran que su ‘enemigo’ se encontraba más cerca de lo pensado. Cuando intentaron responder el 28 de mayo, fueron recibidos a bala. La policía anunció acciones contra los agentes “permisivos”.",0
45,"Una patrullera de la Policía Nacional denunció este jueves que fue violada por vándalos en Cali, Valle del Cauca. La oficial se encontraba en labores de seguridad durante las manifestaciones del pasado 29 de abril cuando ocurrieron los hechos. Había sido asignada para brindar seguridad en un sector al oriente de Cali. En medio de los actos vandálicos, ella ingresó al CAI para protegerse. Pero los vándalos la emprendieron contra las instalaciones y lo prendieron fuego. Allí, esta mujer empezó a vivir los momentos más duros de su vida.",1
46,"En las últimas horas varios congresistas de oposición denunciaron que la Procuraduría les abrió indagaciones preliminares e investigaciones formales por asuntos relacionados con el paro nacional y horas antes de que en el Congreso empezara el debate a la reforma del Código Disciplinario que le daría poderes de juez a la procuradora Margarita Cabello. La consecuencia que estas investigaciones suscita es que los parlamentarios indagados deberán declararse impedidos para votar sobre esta reforma la cual, desde que fue radicada, no apoyan. Entre los representantes afectados se destacan Ángela María Robledo, Inti Asprilla, María José Pizarro y el senador Alexander López, quienes denunciaron que se trata de un hostigamiento por parte del Ministerio Público.",-1
47,"El presidente Iván Duque aseguró que no se puede tener conversaciones con personas que ""oculten su identidad"" y destacó que, por el contrario, los espacios de diálogo existen para para exponer sus ideas con ""todas las garantías democráticas"". ",1
48,"Durante las manifestaciones en Colombia por cuenta del paro nacional, el ‘Capitán Colombia’ se hizo viral en redes sociales y muchos lo comparan con el popular héroe de Marvel, el ‘Capitán América’. El hombre hace parte de la Primera Línea, un colectivo que a punta de caretas, cascos y escudos improvisados hacen frente al Escuadrón Móvil Antidisturbios (ESMAD), cuando estos intervienen con gases lacrimógenos para dispersar protestas. Son muchas las fotos y personajes que protagonizan este grupo, entre ellos madres de familia, estudiantes y el particular ‘Capitán Colombia’, un hombre que se está robando todas las miradas de las mujeres. Por ahora, se desconoce su verdadera identidad, pero su cuerpo musculoso y su escudo de protección han sido suficientes para que el hombre se haya vuelto viral en redes sociales. Sus fans crean historias, lanzan piropos y crean historias en honor a uno de los que hacen parte de la Primera Línea en Colombia. ",0
49,"Pudimos establecer varios hechos. Al menos un policía vestido de civil disparó ese día. Aunque el general Rodríguez aseguró que los agentes fueron atacados con disparos de una multitud, las heridas de dos de ellos no fueron por proyectiles, sino por armas traumáticas que disparan bolas de goma. En efecto los policías no estaban uniformados; iban sin chalecos reflectivos y sin gorras con el logo de la institución. La afirmación de Luis Carlos Vélez es falsa, pues no se trató de “videos fabricados”.",-1
50,"Las protestas registradas en Colombia desde finales de abril han dejado al menos 27 muertos y más de 2.000 personas lesionadas, según un balance publicado este viernes por el Ministerio de Defensa y que cita como fuentes de información a la Fiscalía General de la Nación y la Policía Nacional.",0
51,"por medio de la cicular 17 de 2021, el Ministerio de Educación ordena a los profesores y directivos de colegios oficiales reponer las clases perdidas durante el paro nacional. Se solicita la reposición del tiempo a los estudiantes por la participación total o parcial de los docentes y directivos en el ceses de actividades durante el paro nacional.",0
52,"El sistema de transporte público en Colombia está viviendo uno de sus momentos económicos más complicados. La reducción de pasajeros a costa de la pandemia trajo consigo un hueco difícil de tapar. Según el presidente de Metrocali -entidad encargada del funcionamiento del Masivo Integrado de Occidente (MIO)-, Óscar Ortiz, las empresas perdieron alrededor de $2,2 billones en 2020 a causa del virus. Sin embargo, este año las cosas se complicaron aún más, pues a la pandemia se sumaron los actos vandálicos contra estaciones y buses que fueron atacados durante más de un mes de protesta social en el país. En Cali, Bucaramanga, Pereira, Bogotá, entre otras ciudades, las pérdidas han sido millonarias y la oferta del servicio bajó ante el daño que hubo en los elementos del sistema.",0
53,"La CIDH también documentó la preocupación de los colombianos sobre las interrupciones del servicio de Internet en el contexto de las protestas. Según señalaron, esto habría generado un escenario de obstaculización de las denuncias sobre el actuar de la fuerza pública. Los reportes recibidos enseñan tanto el posible uso de tecnología dirigida a inhibir o restringir la señal de Internet, como el bloqueo de las direcciones de dos páginas en Internet que contenían información sobre las protestas. Otra de las preocupaciones de la Comisión en materia de tecnología son las reiteradas denuncias que recibió sobre el perfilamiento de usuarios de redes sociales, participantes o no de las protestas. Reseñó que “la caracterización genérica a través de términos como terrorismo, vandalismo o criminales estigmatiza a las personas manifestantes, activa un ambiente hostil al ejercicio de la protesta y a la libertad de expresión en Internet. La Relatoría Especial para la Libertad de Expresión ha señalado que las sanciones penales por la difusión de información presuntamente falsa podrían retrotraer a la región a una lógica de criminalizar expresiones sobre asuntos de interés público y establecer una herramienta con un fuerte efecto inhibitorio. ",-1
54,"El ministro, Diego Molano, salió en defensa del papel de la fuerza pública. Durante su intervención, el funcionario reiteró que durante los actos violentos ha habido intereses de organizaciones al margen la ley, como las disidencias de las Farc y el ELN. Explicó que en Cali, Medellín, Popayán y Bogotá se han dado ataques sistemáticos a las entidades del Estado, como la Defensoría del Pueblo, la Fiscalía, la Procuraduría y la Policía, acciones que son plenamente organizadas, no por los manifestantes pacíficos sino por organizaciones criminales, en hechos que reiteró son terroristas. “¿Quién está detrás de la violencia, del ataque a las entidades? Los vamos a identificar a los responsables, los encontraremos y judicializaremos. No son supuestos ni hipótesis, lo de las disidencias y el ELN está comprobado como el caso de alias Jacobo, quien estaba incentivando el odio en las redes sociales”, señalo el funcionario. De igual manera Molano insistió en que las protestas pacíficas serán respetadas en el país, pero serán combatidos los actos violentos que comentan vándalos.",1
55,"En Bogotá la mayoría de las marchas se han llevado a cabo en las vías principales, afectado la operación de Transmilenio y por ende a los usuarios que han tenido que bajarse del sistema de transporte y caminar a sus casas. Es por eso que ahora los bogotanos afectados podrán pedir una devolución de ese pasaje que no pudieron utilizar, pero que si validaron en las taquillas de las estaciones. ¿Cómo pedir el reintegro de mi pase en Transmilenio? Esta solitud se hace para las personas que pagaron su pasaje, pero que no pudieron completar su movilización por el sistema o si no abordaron alguno de los buses durante las marchas que se han realizado desde el pasado 28 de abril en la ciudad.",0
56,"El ministro de justicia colombiano, Wilson Ruiz Orejuela, ha defendido este martes la actuación policial durante las protestas que han tenido lugar en el país desde el pasado
mes de abril contra el gobierno del presidente, Iván Duque, y ha descartado cualquier paralelismo con Chile, especialmente ante la posibilidad de que se produzca una reforma constitucional.",1
57,"Claro está, hay que tener en cuenta que, en hechos como los ocurridos en Colombia durante el último mes, los hogares no son el objetivo de vandalismo. Sin embargo, terminan metidos en la ola, por vecindad con los puntos focales, que, en este caso, han sido las estaciones y vehículos de los sistemas de transporte; los bienes en espacio público como estatuas que hacen parte de los símbolos de algún hecho histórico en el país; los vehículos, entre otros.",0
58,"A simple vista, todo lo que ha dicho Petro es claramente una exageración o una mentira. Sin embargo, en un ambiente caldeado y violento, sus palabras se convierten en gasolina, y lo único que hacen es encender más el odio en momentos en que los colombianos exigen grandeza y sensatez de parte de sus líderes políticos para poder sacar adelante las reformas que demandan los ciudadanos, principalmente los jóvenes. Por esta razón, Petro se equivoca y está jugando, literalmente, con fuego: lo que hoy puede hacerlo popular mañana podría pasarle una costosa factura en términos políticos y dejarlo sin opciones en las presidenciales.",1
